EpochTime,CurrentPlaybackTime,CurrentBufferSize,CurrentPlaybackState,Action,Bitrate
0,0,0,INITIAL_BUFFERING,Starting,0
0,0,0,INITIAL_BUFFERING,Starting,0
0.0007398128509521484,0,1,INITIAL_BUFFERING,Writing,45226
0.004974365234375,0,1,PLAY,InitialBuffering-Play,0
0.0063626766204833984,0,0,PLAY,StillPlaying,45226
0.3674023151397705,0,1,PLAY,Writing,88783.0
0.9387133121490479,0,2,PLAY,Writing,128503.0
1.7857317924499512,1,3,PLAY,Writing,177437.0
2.7771661281585693,2,4,PLAY,Writing,217761.0
3.7144522666931152,3,5,PLAY,Writing,255865.0
4.0079426765441895,4,4,PLAY,StillPlaying,88783.0
4.612503528594971,4,5,PLAY,Writing,323047.0
6.639152765274048,6,6,PLAY,Writing,378355.0
8.00793170928955,8,5,PLAY,StillPlaying,128503.0
9.063396692276001,9,6,PLAY,Writing,509091.0
11.665467739105225,11,7,PLAY,Writing,577751.0
12.007905721664429,12,6,PLAY,StillPlaying,177437.0
15.23185110092163,15,7,PLAY,Writing,782553.0
16.00788426399231,16,6,PLAY,StillPlaying,217761.0
20.007935047149658,20,5,PLAY,StillPlaying,255865.0
20.090036869049072,20,6,PLAY,Writing,1008699.0
23.81102681159973,23,7,PLAY,Writing,782553.0
24.00837469100952,24,6,PLAY,StillPlaying,323047.0
28.007994174957275,28,5,PLAY,StillPlaying,378355.0
28.647486209869385,28,6,PLAY,Writing,1008699.0
32.007932901382446,32,5,PLAY,StillPlaying,509091.0
32.28555750846863,32,6,PLAY,Writing,782553.0
34.90828061103821,34,7,PLAY,Writing,1008699.0
36.00801944732666,36,6,PLAY,StillPlaying,577751.0
37.827775955200195,37,7,PLAY,Writing,782553.0
40.0079140663147,40,6,PLAY,StillPlaying,782553.0
42.450040102005005,42,7,PLAY,Writing,1008699.0
44.00791001319885,44,6,PLAY,StillPlaying,1008699.0
45.58227562904358,45,7,PLAY,Writing,782553.0
48.0079243183136,48,6,PLAY,StillPlaying,782553.0
49.64003872871399,49,7,PLAY,Writing,1008699.0
52.00864934921265,52,6,PLAY,StillPlaying,1008699.0
53.499898195266724,53,7,PLAY,Writing,782553.0
56.007922410964966,56,6,PLAY,StillPlaying,782553.0
58.2268168926239,58,7,PLAY,Writing,1008699.0
60.00853490829468,60,6,PLAY,StillPlaying,1008699.0
61.07905912399292,61,7,PLAY,Writing,782553.0
64.00836753845215,64,6,PLAY,StillPlaying,782553.0
64.2341697216034,64,7,PLAY,Writing,1008699.0
68.00798892974854,68,6,PLAY,StillPlaying,1008699.0
72.00798392295837,72,5,PLAY,StillPlaying,782553.0
75.09598517417908,75,6,PLAY,Writing,782553.0
76.00794410705566,76,5,PLAY,StillPlaying,1008699.0
80.00795006752014,80,4,PLAY,StillPlaying,782553.0
84.00792384147644,84,3,PLAY,StillPlaying,1008699.0
88.00799632072449,88,2,PLAY,StillPlaying,782553.0
91.02856588363647,91,3,PLAY,Writing,509091.0
92.0079436302185,92,2,PLAY,StillPlaying,1008699.0
96.00793623924255,96,1,PLAY,StillPlaying,782553.0
100.00792670249939,100,0,PLAY,StillPlaying,509091.0
100.67720913887024,100,1,PLAY,Writing,255865.0
104.00792956352234,104,0,PLAY,StillPlaying,255865.0
108.00830459594727,108,0,BUFFERING,Play-Buffering,0
108.36469221115112,108,1,BUFFERING,Writing,177437.0
108.37094402313232,108,1,PLAY,Buffering-Play,0
108.37224698066711,108,0,PLAY,StillPlaying,177437.0
112.37327861785889,112,0,BUFFERING,Play-Buffering,0
113.71935391426086,112,1,BUFFERING,Writing,128503.0
113.72192120552063,112,1,PLAY,Buffering-Play,0
113.72241568565369,112,0,PLAY,StillPlaying,128503.0
117.7239077091217,116,0,BUFFERING,Play-Buffering,0
117.8520119190216,116,1,BUFFERING,Writing,88783.0
117.85676288604736,116,1,PLAY,Buffering-Play,0
117.85806655883789,116,0,PLAY,StillPlaying,88783.0
119.71873164176941,117,1,PLAY,Writing,45226.0
121.85877895355225,120,0,PLAY,StillPlaying,45226.0
123.93181657791138,122,1,PLAY,Writing,88783.0
125.77923846244812,123,2,PLAY,Writing,45226.0
125.85863733291626,124,1,PLAY,StillPlaying,88783.0
129.85887670516968,128,0,PLAY,StillPlaying,45226.0
133.8589997291565,132,0,BUFFERING,Play-Buffering,0
135.21010899543762,132,1,BUFFERING,Writing,88783.0
135.21267318725586,132,1,PLAY,Buffering-Play,0
135.21312761306763,132,0,PLAY,StillPlaying,88783.0
135.39334893226624,132,1,PLAY,Writing,45226.0
135.74529218673706,132,2,PLAY,Writing,88783.0
135.93008041381836,132,3,PLAY,Writing,45226.0
136.26902985572815,133,4,PLAY,Writing,88783.0
136.7513871192932,133,5,PLAY,Writing,128503.0
137.54956316947937,134,6,PLAY,Writing,177437.0
138.3697099685669,135,7,PLAY,Writing,217761.0
139.21332931518555,136,6,PLAY,StillPlaying,45226.0
139.48008942604065,136,7,PLAY,Writing,255865.0
140.65964341163635,137,8,PLAY,Writing,323047.0
141.94237661361694,138,9,PLAY,Writing,378355.0
143.2139105796814,140,8,PLAY,StillPlaying,88783.0
143.66112279891968,140,9,PLAY,Writing,509091.0
146.3494517803192,143,10,PLAY,Writing,577751.0
147.21347641944885,144,9,PLAY,StillPlaying,45226.0
149.84865951538086,146,10,PLAY,Writing,782553.0
151.2134485244751,148,9,PLAY,StillPlaying,88783.0
